id,title,author,publisher,publication_year,pages,dimensions,registration_number,price,storage_location,document_type,availability,keywords,subject,department,summary,url
1,Quán văn 110 : chuyên đề văn học nghệ thuật,Nguyên Minh (ch.b),Hội Nhà văn,2024,333 tr.,21 cm.,56245,200000,03 Quang Trung,Sách Tham Khảo,10/10,"Văn học nghệ thuật, Việt Nam, quán văn",Văn học nghệ thuật--Việt Nam,Khoa Khoa học Xã Hội & Nhân Văn,"Bao gồm các bài viết về các chủ đề như: Thơ; sống và viết; truyện ngắn; hội họac; góc nhìn văn học, truyện dịch…",https://elib.duytan.edu.vn/Sach/Detail/92294
2,Quán văn : sáng tác - tư liệu - nghiên cứu văn học : tập 53 - Tháng 03 năm 2018 : bếp lửa còn thơm mùi bã mía,Nguyên Minh (ch.b),Hội Nhà văn,2018,267 tr.,20 cm.,56194,70000,03 Quang Trung,Sách Tham Khảo,1/1,"Nghiên cứu văn học, Việt Nam, quán văn, bếp lửa còn thơm mùi bã míai",Nghiên cứu văn học--Việt Nam,Khoa Khoa học Xã Hội & Nhân Văn,Bao gồm các bài viết về các chủ đề như: Tản văn; truyện ngắn; thơ; truyện dài; chân dung văn học; góc nhìn văn học…,https://elib.duytan.edu.vn/Sach/Detail/92293
3,Quán văn : sáng tác - tư liệu - nghiên cứu văn học : tập 55 - Tháng 05 năm 2018 : một thời để nhớ,Nguyên Minh (ch.b),Hội Nhà văn,2018,234 tr.,20 cm.,56196,80000,03 Quang Trung,Sách Tham Khảo,1/1,"Nghiên cứu văn học, Việt Nam, quán văn, hình sương bóng khói",Nghiên cứu văn học--Việt Nam,Khoa Khoa học Xã Hội & Nhân Văn,Bao gồm các bài viết về các chủ đề như: Tản văn; truyện ngắn; thơ; truyện dài; chân dung văn học; góc nhìn văn học…,https://elib.duytan.edu.vn/Sach/Detail/92292
4,Quán văn : nghiên cứu và sáng tác văn học nghệ thuật : tập 32 - Tháng 08 năm 2015 : Phạm Thiên Thư và Ngày xưa Hoàng Thị,Nguyên Minh (ch.b),Hội Nhà văn,2015,207 tr.,21 cm.,56222,60000,03 Quang Trung,Sách Tham Khảo,1/1,"Văn học nghệ thuật, nghiên cứu văn học, Việt Nam, quán văn, Phạm Thiên Thư, Ngày xưa Hoàng Thị",Văn học nghệ thuật--Việt Nam,Khoa Khoa học Xã Hội & Nhân Văn,Bao gồm các bài viết về các chủ đề như: Sống và viết; hội họa; truyện ngắn; thơ; nhận định văn học; đọc sách...,https://elib.duytan.edu.vn/Sach/Detail/92328
5,Quán văn : nghiên cứu và sáng tác văn học nghệ thuật : tập 33 - Tháng 09 năm 2015 : rừng thu lá bay,Nguyên Minh (ch.b),Hội Nhà văn,2015,270 tr.,21 cm.,56223,70000,03 Quang Trung,Sách Tham Khảo,1/1,"Văn học nghệ thuật, nghiên cứu văn học, Việt Nam, quán văn, bên dòng sông Potomac",Văn học nghệ thuật--Việt Nam,Khoa Khoa học Xã Hội & Nhân Văn,Bao gồm các bài viết về các chủ đề như: Rừng thu lá bay; sống và viết; hội họa; truyện ngắn; thơ; chân dung văn học; đọc sách...,https://elib.duytan.edu.vn/Sach/Detail/92326
6,Quán văn : nghiên cứu và sáng tác văn học nghệ thuật : tập 31 - Tháng 06 năm 2015 : Sông nước miền Tây,Nguyên Minh (ch.b),Hội Nhà văn,2015,235 tr.,21 cm.,56221,60000,03 Quang Trung,Sách Tham Khảo,1/1,"Văn học nghệ thuật, nghiên cứu văn học, Việt Nam, quán văn, Sông nước miền Tây",Văn học nghệ thuật--Việt Nam,Khoa Khoa học Xã Hội & Nhân Văn,Bao gồm các bài viết về các chủ đề như: Sông nước miền tây; nghiên cứu văn học; truyện ngắn; thơ; nhận định văn học; đọc sách...,https://elib.duytan.edu.vn/Sach/Detail/92329
7,Giải pháp đảm bảo thực thi cam kết về lao động và công đoàn trong Hiệp định Thương mại tự do thế hệ mới,Trịnh Thị Thanh Thuỷ,Công thương,2022,170 tr.,21 cm.,55474,0,209 Phan Thanh,Sách Chuyên ngành,1/1,"Lao động, Công đoàn, Hiệp định Thương mại tự do",Lao động,Khoa Quản Trị Kinh Doanh,"Trình bày cam kết về lao động, công đoàn trong Hiệp định Thương mại tự do thế hệ mới và điều kiện thực thi. Nêu tình hình thực thi cam kết về lao động, công đoàn trong Hiệp định Thương mại tự do thế hệ mới của Việt Nam. Đưa ra quan điểm và giải pháp đảm bảo thực thi cam kết về lao động và công đoàn trong Hiệp định Thương mại tự do thế hệ mới.",https://elib.duytan.edu.vn/Sach/Detail/92205
8,"Hỏi đáp về chuỗi cung ứng hàng linh kiện phụ tùng, điện tử xuất khẩu của Việt Nam",,Công thương,2022,199 tr.,21 cm.,55473,0,209 Phan Thanh,Sách Tham Khảo,1/1,"Chuỗi cung ứng, Điện tử, Hỏi đáp, Linh kiện phụ tùng, xuất khẩu",Linh kiện điện tử,Khoa Quản Trị Kinh Doanh,"Tổng quan về những vấn đề chung về chuỗi cung ứng. Chuỗi cung ứng hàng linh kiện phụ tùng, điện từ xuất khẩu của Việt Nam. Tác động của các FTA thế hệ mới và giải pháp phát triển đối với chuỗi cung ứng hàng linh kiện phụ tùng, điện tử xuất khẩu của Việt Nam.",https://elib.duytan.edu.vn/Sach/Detail/92206
9,Chẩn đoán hình ảnh Răng Hàm Mặt,,Giáo dục Việt Nam,2024,367 tr.,27 cm.,54952,145000,03 Quang Trung,Sách Chuyên ngành,5/5,"Chẩn đoán hình ảnh, Răng hàm mặt",Răng - Hàm - Mặt,Khoa Răng Hàm Mặt,Trình bày kiến thức đại cương và nguyên lý cơ bản trong X quang nha khoa; các kỹ thuật chụp phim trong miệng; đọc phim trong miệng các hình ảnh bình thường và tổn thương thường gặp; các kỹ thuật chụp phim ngoài miệng; đọc phim ngoài miệng các tổn thương thường gặp; chụp phim răng toàn cảnh; cắt lớp vi tính chùm tia hình nón; chụp cắt lớp vi tính; cộng hưởng từ trong chẩn đoán khoang miệng và vùng hàm mặt; siêu âm trong chẩn đoán bệnh lý vùng hàm mặt và chẩn đoán hình ảnh kỹ thuật số.,https://elib.duytan.edu.vn/Sach/Detail/91903
10,Thực hành lâm sàng nha khoa trẻ em : sách dùng cho sinh viên Răng Hàm Mặt,Trường Đại học Y Hà Nội,Giáo dục Việt Nam,2024,243 tr.,27 cm.,54976,155000,03 Quang Trung,Sách Chuyên ngành,5/5,"Nha khoa, trẻ em, lâm sàng, thực hành",Nha khoa,Khoa Răng Hàm Mặt,"Hướng dẫn vệ sinh răng miệng cho trẻ em; dự phòng sâu răng bằng fluoride; kỹ thuật trám bít hố rãnh dự phòng, điều trị sâu răng sữa bằng silver diamine fluoride, điều trị sâu răng giai đoạn sớm bằng Icon-DMG, phương pháp vi mài mòn men răng ...",https://elib.duytan.edu.vn/Sach/Detail/91907
